city,danceability,energy,loudness,speechiness,acousticness,instrumentalness,valence,tempo
ahmedabad,-0.226331846,-0.649283257,-0.175660347,-0.762132959,0.550481294,-0.658057606,-0.733590232,-0.949682448
bengaluru,-0.497217204,-0.052578493,-0.896762061,-0.189459431,0.419065482,-0.657169032,-0.097483616,-0.049776453
chandigarh,0.875030994,1.758497322,1.991983345,2.168339688,-2.548227165,2.078050207,1.513875463,1.941576536
chennai,-2.92805687,2.335637994,0.389425317,1.591472097,0.628812887,1.56890598,2.278202523,1.262791579
delhi,1.158391336,-0.547270499,-1.835736407,0.167403811,-0.448013456,1.729257151,-0.234030063,0.772227899
guwahati,-0.441970848,-0.617142251,-0.101904963,-0.767872203,0.621044464,-0.658057606,-0.711387558,-0.954576475
hyderabad,0.244153251,0.394134908,-0.085366918,0.214642203,0.041649628,-0.658454767,0.997108222,0.511838811
imphal,-0.037424951,-0.319954398,0.611507634,-0.066875068,0.0031312,-0.626365346,-0.287316481,0.118089462
jaipur,0.17286763,-0.702385788,-0.248084097,-0.749035711,0.259812823,-0.65832238,-0.777995581,-0.939752233
kochi,1.823129749,0.297711891,-0.302767035,0.149082379,0.53267866,0.870109679,1.195822156,1.320730119
kolkata,-0.258410375,-0.638103776,-0.100573328,-0.760514198,0.400939163,-0.65832238,-0.733590232,-0.949540287
lucknow,-0.705727645,-0.931565135,-1.068457036,-0.742928566,0.903620829,-0.602238323,-1.07995195,-0.479321437
ludhiana,0.917802366,1.69421531,2.420469054,2.013821584,-2.505665921,0.905366791,0.937716068,1.229475866
mumbai,-0.026732108,-0.675834522,-0.211872222,-0.755584335,0.405147059,-0.658189993,-0.755792906,-0.94471734
patna,-0.042771372,-0.670244782,-0.174328713,-0.754774954,0.330375993,-0.65832238,-0.755792906,-0.94464626
pune,-0.026732108,-0.675834522,-0.211872222,-0.755584335,0.405147059,-0.658189993,-0.755792906,-0.94471734
