city,week,rank,danceability,energy,loudness,speechiness,acousticness,instrumentalness,valence,tempo
ahmedabad,30-03-2023,1,0.698,0.505,-8.242,0.0356,0.354,0,0.396,95.868
ahmedabad,30-03-2023,2,0.577,0.574,-6.525,0.0278,0.572,0,0.436,94.009
ahmedabad,30-03-2023,3,0.577,0.379,-13.235,0.0374,0.909,0.000586,0.26,139.585
ahmedabad,30-03-2023,4,0.582,0.418,-8.701,0.0288,0.794,0,0.243,112.909
ahmedabad,30-03-2023,5,0.679,0.748,-5.487,0.054,0.111,0,0.406,118.945
ahmedabad,30-03-2023,6,0.817,0.738,-7.639,0.0748,0.0964,0,0.616,104.964
ahmedabad,30-03-2023,7,0.739,0.716,-4.964,0.037,0.232,0,0.871,113.943
ahmedabad,30-03-2023,8,0.77,0.84,-4.022,0.107,0.515,0.00452,0.192,96.012
ahmedabad,30-03-2023,9,0.464,0.491,-7.039,0.0392,0.837,0.00000139,0.106,76.739
ahmedabad,30-03-2023,10,0.729,0.396,-8.98,0.0359,0.796,0,0.886,97.281
ahmedabad,23-03-2023,1,0.698,0.505,-8.242,0.0356,0.354,0,0.396,95.868
ahmedabad,23-03-2023,2,0.577,0.574,-6.525,0.0278,0.572,0,0.436,94.009
ahmedabad,23-03-2023,3,0.577,0.379,-13.235,0.0374,0.909,0.000586,0.26,139.585
ahmedabad,23-03-2023,4,0.679,0.748,-5.487,0.054,0.111,0,0.406,118.945
ahmedabad,23-03-2023,5,0.817,0.738,-7.639,0.0748,0.0964,0,0.616,104.964
ahmedabad,23-03-2023,6,0.77,0.84,-4.022,0.107,0.515,0.00452,0.192,96.012
ahmedabad,23-03-2023,7,0.773,0.795,-5.537,0.0412,0.0587,0.00237,0.649,115.997
ahmedabad,23-03-2023,8,0.739,0.716,-4.964,0.037,0.232,0,0.871,113.943
ahmedabad,23-03-2023,9,0.464,0.491,-7.039,0.0392,0.837,0.00000139,0.106,76.739
ahmedabad,23-03-2023,10,0.772,0.767,-4.792,0.0381,0.138,0,0.866,122.024
ahmedabad,16-03-2023,1,0.586,0.562,-7.399,0.0267,0.803,0.00000552,0.436,93.982
ahmedabad,16-03-2023,2,0.698,0.505,-8.242,0.0356,0.354,0,0.396,95.868
ahmedabad,16-03-2023,3,0.577,0.379,-13.235,0.0374,0.909,0.000586,0.26,139.585
ahmedabad,16-03-2023,4,0.577,0.574,-6.525,0.0278,0.572,0,0.436,94.009
ahmedabad,16-03-2023,5,0.817,0.738,-7.639,0.0748,0.0964,0,0.616,104.964
ahmedabad,16-03-2023,6,0.679,0.748,-5.487,0.054,0.111,0,0.406,118.945
ahmedabad,16-03-2023,7,0.77,0.84,-4.022,0.107,0.515,0.00452,0.192,96.012
ahmedabad,16-03-2023,8,0.773,0.795,-5.537,0.0412,0.0587,0.00237,0.649,115.997
ahmedabad,16-03-2023,9,0.464,0.491,-7.039,0.0392,0.837,0.00000139,0.106,76.739
ahmedabad,16-03-2023,10,0.739,0.716,-4.964,0.037,0.232,0,0.871,113.943
ahmedabad,09-03-2023,1,0.586,0.562,-7.399,0.0267,0.803,0.00000552,0.436,93.982
ahmedabad,09-03-2023,2,0.698,0.505,-8.242,0.0356,0.354,0,0.396,95.868
