,danceability,energy,loudness,speechiness,acousticness,instrumentalness,valence,tempo,PCA1,PCA2,PCA3,PCA4
danceability,1,0.291509209,0.25013732,0.213102504,-0.488384961,0.137452562,0.398334866,-0.021533358,0.675962122,-0.065199635,0.368488512,-0.474175558
energy,0.291509209,1,0.634358605,0.378353876,-0.392121891,0.112670177,0.083630196,0.103519001,0.725074686,-0.41344089,-0.29758387,0.237986214
loudness,0.25013732,0.634358605,1,0.025081593,-0.205172438,0.093819056,0.004850637,-0.225979969,0.48419653,-0.754271464,-0.037922605,0.124932104
speechiness,0.213102504,0.378353876,0.025081593,1,-0.402537726,-0.009745144,0.185005742,0.342060807,0.597113036,0.32351606,-0.478800071,0.01850546
acousticness,-0.488384961,-0.392121891,-0.205172438,-0.402537726,1,-0.121584087,-0.23853268,-0.246401456,-0.757426039,-0.108278886,0.068609357,0.160491153
instrumentalness,0.137452562,0.112670177,0.093819056,-0.009745144,-0.121584087,1,0.192911057,0.070909633,0.271142167,0.025417976,0.617262012,0.67424547
valence,0.398334866,0.083630196,0.004850637,0.185005742,-0.23853268,0.192911057,1,0.273934113,0.488729998,0.412258753,0.482621688,-0.178712822
tempo,-0.021533358,0.103519001,-0.225979969,0.342060807,-0.246401456,0.070909633,0.273934113,1,0.317275516,0.710737551,-0.253170908,0.323099348
PCA1,0.675962122,0.725074686,0.48419653,0.597113036,-0.757426039,0.271142167,0.488729998,0.317275516,1,-1.75E-16,-2.75E-16,3.94E-16
PCA2,-0.065199635,-0.41344089,-0.754271464,0.32351606,-0.108278886,0.025417976,0.412258753,0.710737551,-1.75E-16,1,5.92E-16,6.42E-17
PCA3,0.368488512,-0.29758387,-0.037922605,-0.478800071,0.068609357,0.617262012,0.482621688,-0.253170908,-2.75E-16,5.92E-16,1,-1.88E-16
PCA4,-0.474175558,0.237986214,0.124932104,0.01850546,0.160491153,0.67424547,-0.178712822,0.323099348,3.94E-16,6.42E-17,-1.88E-16,1
