city,week,trackName,trackID,artists,currentRank,previousRank,peakRank,peakDate,appearancesOnChart,consecutiveAppearancesOnChart,entryStatus,entryRank,entryDate,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,duration_ms,time_signature
ahmedabad,30-03-2023,Maan Meri Jaan,1418IuVKQPTYqt7QNJ9RXN,King,1,1,1,05-01-2023,13,13,NO_CHANGE,1,05-01-2023,0.698,0.505,6,-8.242,0,0.0356,0.354,0,0.0995,0.396,95.868,audio_features,194654,4
ahmedabad,30-03-2023,Kesariya,4UMIv5jd9gK98a39BQRD9X,"Pritam,Arijit Singh,Amitabh Bhattacharya",2,2,2,23-03-2023,13,13,NO_CHANGE,3,05-01-2023,0.577,0.574,0,-6.525,1,0.0278,0.572,0,0.1,0.436,94.009,audio_features,268165,4
ahmedabad,30-03-2023,Kahani Suno 2.0,4VsP4Dm8gsibRxB5I2hEkw,Kaifi Khalil,3,3,3,16-03-2023,10,10,NO_CHANGE,81,26-01-2023,0.577,0.379,11,-13.235,1,0.0374,0.909,0.000586,0.0986,0.26,139.585,audio_features,173638,3
ahmedabad,30-03-2023,"O Bedardeya (From ""Tu Jhoothi Main Makkaar"")",0czcoKJbJt08NqKrvSbbz7,"Pritam,Arijit Singh,Amitabh Bhattacharya",4,11,4,30-03-2023,3,3,MOVED_UP,29,16-03-2023,0.582,0.418,7,-8.701,1,0.0288,0.794,0,0.109,0.243,112.909,audio_features,313051,4
ahmedabad,30-03-2023,Tere Pyaar Mein,2ZD4aIEepqZsdxPxLSuUhm,"Pritam,Arijit Singh,Amitabh Bhattacharya,Nikhita Gandhi",5,4,4,23-03-2023,8,8,MOVED_DOWN,19,09-02-2023,0.679,0.748,9,-5.487,0,0.054,0.111,0,0.183,0.406,118.945,audio_features,265108,4
ahmedabad,30-03-2023,Jhoome Jo Pathaan,6FAYpZ4jve8vpvTwUvjK6H,"Vishal-Shekhar,Arijit Singh,Sukriti Kakar,Vishal Dadlani,Shekhar Ravjiani,Kumaar",6,5,3,02-02-2023,13,13,MOVED_DOWN,28,05-01-2023,0.817,0.738,7,-7.639,1,0.0748,0.0964,0,0.331,0.616,104.964,audio_features,208164,4
ahmedabad,30-03-2023,Malang Sajna,73K33p4Vyz9koXGqmL5eFs,"Sachet Tandon,Parampara Tandon,Kumaar",7,8,7,30-03-2023,9,9,MOVED_UP,42,02-02-2023,0.739,0.716,10,-4.964,1,0.037,0.232,0,0.33,0.871,113.943,audio_features,160194,4
ahmedabad,30-03-2023,Tu Aake Dekhle,0yCWDaAgOtg6TKlNCg9rwA,King,8,6,4,05-01-2023,13,13,MOVED_DOWN,4,05-01-2023,0.77,0.84,11,-4.022,1,0.107,0.515,0.00452,0.145,0.192,96.012,audio_features,270000,4
ahmedabad,30-03-2023,Kali Kali Zulfon Ke (Lo-Fi),7oN0Wo7sCVvXPdpxoio3JM,Madhur Sharma,9,9,7,19-01-2023,13,13,NO_CHANGE,12,05-01-2023,0.464,0.491,7,-7.039,1,0.0392,0.837,0.00000139,0.111,0.106,76.739,audio_features,77143,3
ahmedabad,30-03-2023,Chaand Baaliyan,0snQrp1VaY5Pj1YIHRJpRJ,Aditya A,10,12,7,05-01-2023,13,13,MOVED_UP,7,05-01-2023,0.729,0.396,0,-8.98,1,0.0359,0.796,0,0.104,0.886,97.281,audio_features,103265,4
ahmedabad,23-03-2023,Maan Meri Jaan,1418IuVKQPTYqt7QNJ9RXN,King,1,2,1,29-12-2022,13,13,MOVED_UP,1,29-12-2022,0.698,0.505,6,-8.242,0,0.0356,0.354,0,0.0995,0.396,95.868,audio_features,194654,4
ahmedabad,23-03-2023,Kesariya,4UMIv5jd9gK98a39BQRD9X,"Pritam,Arijit Singh,Amitabh Bhattacharya",2,4,2,23-03-2023,13,13,MOVED_UP,3,29-12-2022,0.577,0.574,0,-6.525,1,0.0278,0.572,0,0.1,0.436,94.009,audio_features,268165,4
ahmedabad,23-03-2023,Kahani Suno 2.0,4VsP4Dm8gsibRxB5I2hEkw,Kaifi Khalil,3,3,3,16-03-2023,9,9,NO_CHANGE,81,26-01-2023,0.577,0.379,11,-13.235,1,0.0374,0.909,0.000586,0.0986,0.26,139.585,audio_features,173638,3
ahmedabad,23-03-2023,Tere Pyaar Mein,2ZD4aIEepqZsdxPxLSuUhm,"Pritam,Arijit Singh,Amitabh Bhattacharya,Nikhita Gandhi",4,6,4,23-03-2023,7,7,MOVED_UP,19,09-02-2023,0.679,0.748,9,-5.487,0,0.054,0.111,0,0.183,0.406,118.945,audio_features,265108,4
ahmedabad,23-03-2023,Jhoome Jo Pathaan,6FAYpZ4jve8vpvTwUvjK6H,"Vishal-Shekhar,Arijit Singh,Sukriti Kakar,Vishal Dadlani,Shekhar Ravjiani,Kumaar",5,5,3,02-02-2023,13,13,NO_CHANGE,30,29-12-2022,0.817,0.738,7,-7.639,1,0.0748,0.0964,0,0.331,0.616,104.964,audio_features,208164,4
ahmedabad,23-03-2023,Tu Aake Dekhle,0yCWDaAgOtg6TKlNCg9rwA,King,6,7,4,29-12-2022,13,13,MOVED_UP,4,29-12-2022,0.77,0.84,11,-4.022,1,0.107,0.515,0.00452,0.145,0.192,96.012,audio_features,270000,4
ahmedabad,23-03-2023,"Besharam Rang (From ""Pathaan"")",0CtZpaOhtzvLV3FfcsVpQo,"Vishal-Shekhar,Shilpa Rao,Caralisa Monteiro,Vishal Dadlani,Shekhar Ravjiani,Kumaar",7,8,4,19-01-2023,13,13,MOVED_UP,5,29-12-2022,0.773,0.795,8,-5.537,0,0.0412,0.0587,0.00237,0.154,0.649,115.997,audio_features,258474,4
ahmedabad,23-03-2023,Malang Sajna,73K33p4Vyz9koXGqmL5eFs,"Sachet Tandon,Parampara Tandon,Kumaar",8,10,8,23-03-2023,8,8,MOVED_UP,42,02-02-2023,0.739,0.716,10,-4.964,1,0.037,0.232,0,0.33,0.871,113.943,audio_features,160194,4
ahmedabad,23-03-2023,Kali Kali Zulfon Ke (Lo-Fi),7oN0Wo7sCVvXPdpxoio3JM,Madhur Sharma,9,9,7,19-01-2023,13,13,NO_CHANGE,14,29-12-2022,0.464,0.491,7,-7.039,1,0.0392,0.837,0.00000139,0.111,0.106,76.739,audio_features,77143,3
ahmedabad,23-03-2023,"Pyaar Hota Kayi Baar Hai (From ""Tu Jhoothi Main Makkaar"")",2vPrBucKCfKmafHhSfJ2pt,"Pritam,Arijit Singh,Amitabh Bhattacharya,Charan",10,14,10,23-03-2023,5,5,MOVED_UP,51,23-02-2023,0.772,0.767,0,-4.792,1,0.0381,0.138,0,0.557,0.866,122.024,audio_features,216271,4
ahmedabad,16-03-2023,,1zhpW0PLYAhzF3X49GaAOX,,1,1,1,02-03-2023,13,13,NO_CHANGE,3,22-12-2022,0.586,0.562,9,-7.399,1,0.0267,0.803,0.00000552,0.063,0.436,93.982,audio_features,261702,4
ahmedabad,16-03-2023,Maan Meri Jaan,1418IuVKQPTYqt7QNJ9RXN,King,2,2,1,22-12-2022,13,13,NO_CHANGE,1,22-12-2022,0.698,0.505,6,-8.242,0,0.0356,0.354,0,0.0995,0.396,95.868,audio_features,194654,4
